date,store,cash,total
2025-04-22,Советов,cash,800
2025-04-22,Советов,non-cash,6795
2025-04-22,Черноморский,cash,4015
2025-04-22,Черноморский,non-cash,13295
2025-04-23,Анапа Черноморская,cash,1055
2025-04-23,Анапа Черноморская,non-cash,2325
2025-04-23,Боба Рэббит,cash,5450
2025-04-23,Боба Рэббит,non-cash,9195
2025-04-23,Геленджик,cash,0
2025-04-23,Геленджик,non-cash,5870
2025-04-23,Грин Парк,cash,3190
2025-04-23,Грин Парк,non-cash,12255
2025-04-23,Красная,cash,1500
2025-04-23,Красная,non-cash,9665
2025-04-23,Краснодар Оз Мол,cash,510
2025-04-23,Краснодар Оз Мол,non-cash,4605
2025-04-23,Лента,cash,1095
2025-04-23,Лента,non-cash,3835
2025-04-23,Советов,cash,1305
2025-04-23,Советов,non-cash,12240
2025-04-23,Черноморский,cash,380
2025-04-23,Черноморский,non-cash,11408
2025-04-24,Анапа Черноморская,cash,400
2025-04-24,Анапа Черноморская,non-cash,4782
2025-04-24,Боба Рэббит,cash,1700
2025-04-24,Боба Рэббит,non-cash,12485
2025-04-24,Геленджик,cash,450
2025-04-24,Геленджик,non-cash,3450
2025-04-24,Грин Парк,cash,850
2025-04-24,Грин Парк,non-cash,8255
2025-04-24,Красная,cash,1000
2025-04-24,Красная,non-cash,11865
2025-04-24,Краснодар Оз Мол,cash,1260
2025-04-24,Краснодар Оз Мол,non-cash,1745
2025-04-24,Лента,cash,0
2025-04-24,Лента,non-cash,5210
2025-04-24,Советов,cash,1300
2025-04-24,Советов,non-cash,6845
2025-04-24,Черноморский,cash,0
2025-04-24,Черноморский,non-cash,8185
2025-04-25,Анапа Черноморская,cash,400
2025-04-25,Анапа Черноморская,non-cash,1200
2025-04-25,Боба Рэббит,cash,2170
2025-04-25,Боба Рэббит,non-cash,15930
2025-04-25,Геленджик,cash,900
2025-04-25,Геленджик,non-cash,3450
2025-04-25,Грин Парк,cash,0
2025-04-25,Грин Парк,non-cash,5340
2025-04-25,Красная,cash,800
2025-04-25,Красная,non-cash,8610
2025-04-25,Краснодар Оз Мол,cash,0
2025-04-25,Краснодар Оз Мол,non-cash,1375
2025-04-25,Лента,cash,0
2025-04-25,Лента,non-cash,8135
2025-04-25,Советов,cash,0
2025-04-25,Советов,non-cash,3035
2025-04-25,Черноморский,cash,60
2025-04-25,Черноморский,non-cash,1970
2025-04-26,Анапа Черноморская,cash,500
2025-04-26,Анапа Черноморская,non-cash,4650
2025-04-26,Боба Рэббит,cash,7655
2025-04-26,Боба Рэббит,non-cash,28990
2025-04-26,Геленджик,cash,1350
2025-04-26,Геленджик,non-cash,4830
2025-04-26,Грин Парк,cash,2745
2025-04-26,Грин Парк,non-cash,18540
2025-04-26,Красная,cash,1290
2025-04-26,Красная,non-cash,14160
2025-04-26,Краснодар Оз Мол,cash,0
2025-04-26,Краснодар Оз Мол,non-cash,1945
2025-04-26,Лента,cash,715
2025-04-26,Лента,non-cash,4975
2025-04-26,Советов,cash,3850
2025-04-26,Советов,non-cash,9260
2025-04-26,Черноморский,cash,6600
2025-04-26,Черноморский,non-cash,10577
2025-04-27,Анапа Черноморская,cash,1340
2025-04-27,Анапа Черноморская,non-cash,12000
2025-04-27,Боба Рэббит,cash,9610
2025-04-27,Боба Рэббит,non-cash,33670
2025-04-27,Геленджик,cash,900
2025-04-27,Геленджик,non-cash,5045
2025-04-27,Грин Парк,cash,6760
2025-04-27,Грин Парк,non-cash,17650
2025-04-27,Красная,cash,1550
2025-04-27,Красная,non-cash,19165
2025-04-27,Краснодар Оз Мол,cash,0
2025-04-27,Краснодар Оз Мол,non-cash,3515
2025-04-27,Лента,cash,645
2025-04-27,Лента,non-cash,4160
2025-04-27,Советов,cash,0
2025-04-27,Советов,non-cash,14575
2025-04-27,Черноморский,cash,3345
2025-04-27,Черноморский,non-cash,8915
2025-04-28,Анапа Черноморская,cash,400
2025-04-28,Анапа Черноморская,non-cash,4985
2025-04-28,Боба Рэббит,cash,2715
2025-04-28,Боба Рэббит,non-cash,14075
2025-04-28,Геленджик,cash,0
2025-04-28,Геленджик,non-cash,4090
2025-04-28,Грин Парк,cash,0
2025-04-28,Грин Парк,non-cash,12235
2025-04-28,Красная,cash,800
2025-04-28,Красная,non-cash,7135
2025-04-28,Краснодар Оз Мол,cash,0
2025-04-28,Краснодар Оз Мол,non-cash,0
2025-04-28,Лента,cash,0
2025-04-28,Лента,non-cash,420
2025-04-28,Советов,cash,900
2025-04-28,Советов,non-cash,16380
2025-04-28,Черноморский,cash,1050
2025-04-28,Черноморский,non-cash,3430
2025-04-29,Анапа Черноморская,cash,700
2025-04-29,Анапа Черноморская,non-cash,5045
2025-04-29,Боба Рэббит,cash,8605
2025-04-29,Боба Рэббит,non-cash,24565
2025-04-29,Геленджик,cash,2200
2025-04-29,Геленджик,non-cash,8735
2025-04-29,Грин Парк,cash,3990
2025-04-29,Грин Парк,non-cash,13600
2025-04-29,Красная,cash,2000
2025-04-29,Красная,non-cash,14210
2025-04-29,Краснодар Оз Мол,cash,0
2025-04-29,Краснодар Оз Мол,non-cash,8235
2025-04-29,Лента,cash,950
2025-04-29,Лента,non-cash,9185
2025-04-29,Советов,cash,365
2025-04-29,Советов,non-cash,9250
2025-04-29,Черноморский,cash,2575
2025-04-29,Черноморский,non-cash,12390
2025-04-30,Анапа Черноморская,cash,1010
2025-04-30,Анапа Черноморская,non-cash,6360
2025-04-30,Боба Рэббит,cash,3170
2025-04-30,Боба Рэббит,non-cash,15045
2025-04-30,Геленджик,cash,0
2025-04-30,Геленджик,non-cash,3700
2025-04-30,Грин Парк,cash,1750
2025-04-30,Грин Парк,non-cash,13370
2025-04-30,Красная,cash,3500
2025-04-30,Красная,non-cash,10475
2025-04-30,Краснодар Оз Мол,cash,0
2025-04-30,Краснодар Оз Мол,non-cash,3260
2025-04-30,Лента,cash,245
2025-04-30,Лента,non-cash,3710
2025-04-30,Советов,cash,1150
2025-04-30,Советов,non-cash,11105
2025-04-30,Черноморский,cash,2760
2025-04-30,Черноморский,non-cash,14975
2025-05-01,Анапа Черноморская,cash,2500
2025-05-01,Анапа Черноморская,non-cash,7960
2025-05-01,Боба Рэббит,cash,8195
2025-05-01,Боба Рэббит,non-cash,23580
2025-05-01,Геленджик,cash,1150
2025-05-01,Геленджик,non-cash,13675
2025-05-01,Грин Парк,cash,7615
2025-05-01,Грин Парк,non-cash,20190
2025-05-01,Красная,cash,12300
2025-05-01,Красная,non-cash,10565
2025-05-01,Краснодар Оз Мол,cash,0
2025-05-01,Краснодар Оз Мол,non-cash,700
2025-05-01,Лента,cash,630
2025-05-01,Лента,non-cash,5750
2025-05-01,Советов,cash,1400
2025-05-01,Советов,non-cash,12955
2025-05-01,Черноморский,cash,3660
2025-05-01,Черноморский,non-cash,29710
2025-05-02,Анапа Черноморская,cash,5110
2025-05-02,Анапа Черноморская,non-cash,595
2025-05-02,Боба Рэббит,cash,25500
2025-05-02,Боба Рэббит,non-cash,9350
2025-05-02,Геленджик,cash,350
2025-05-02,Геленджик,non-cash,0
2025-05-02,Грин Парк,cash,1400
2025-05-02,Грин Парк,non-cash,2925
2025-05-02,Красная,cash,6300
2025-05-02,Красная,non-cash,3895
2025-05-02,Краснодар Оз Мол,cash,1950
2025-05-02,Краснодар Оз Мол,non-cash,950
2025-05-02,Лента,cash,5150
2025-05-02,Лента,non-cash,2450
2025-05-02,Советов,cash,10410
2025-05-02,Советов,non-cash,1250
2025-05-02,Черноморский,cash,3300
2025-05-02,Черноморский,non-cash,2700
2025-05-03,Анапа Черноморская,cash,2945
2025-05-03,Анапа Черноморская,non-cash,5980
2025-05-03,Боба Рэббит,cash,8420
2025-05-03,Боба Рэббит,non-cash,18440
2025-05-03,Геленджик,cash,975
2025-05-03,Геленджик,non-cash,7200
2025-05-03,Грин Парк,cash,15160
2025-05-03,Грин Парк,non-cash,19170
2025-05-03,Красная,cash,6150
2025-05-03,Красная,non-cash,11410
2025-05-03,Краснодар Оз Мол,cash,900
2025-05-03,Краснодар Оз Мол,non-cash,1547
2025-05-03,Лента,cash,400
2025-05-03,Лента,non-cash,6050
2025-05-03,Советов,cash,3250
2025-05-03,Советов,non-cash,14400
2025-05-03,Черноморский,cash,8260
2025-05-03,Черноморский,non-cash,0
2025-05-04,Анапа Черноморская,cash,0
2025-05-04,Анапа Черноморская,non-cash,5560
2025-05-04,Боба Рэббит,cash,8540
2025-05-04,Боба Рэббит,non-cash,29245
2025-05-04,Геленджик,cash,800
2025-05-04,Геленджик,non-cash,4060
2025-05-04,Грин Парк,cash,3550
2025-05-04,Грин Парк,non-cash,19420
2025-05-04,Красная,cash,1700
2025-05-04,Красная,non-cash,18425
2025-05-04,Краснодар Оз Мол,cash,0
2025-05-04,Краснодар Оз Мол,non-cash,250
2025-05-04,Лента,cash,1245
2025-05-04,Лента,non-cash,9775
2025-05-04,Советов,cash,2750
2025-05-04,Советов,non-cash,13065
2025-05-04,Черноморский,cash,8110
2025-05-04,Черноморский,non-cash,21435
2025-05-05,Анапа Черноморская,cash,1000
2025-05-05,Анапа Черноморская,non-cash,7530
2025-05-05,Боба Рэббит,cash,1300
2025-05-05,Боба Рэббит,non-cash,12925
2025-05-05,Геленджик,cash,1265
2025-05-05,Геленджик,non-cash,2330
2025-05-05,Грин Парк,cash,3245
2025-05-05,Грин Парк,non-cash,9100
2025-05-05,Красная,cash,800
2025-05-05,Красная,non-cash,9295
2025-05-05,Краснодар Оз Мол,cash,950
2025-05-05,Краснодар Оз Мол,non-cash,525
2025-05-05,Лента,cash,350
2025-05-05,Лента,non-cash,6215
2025-05-05,Советов,cash,400
2025-05-05,Советов,non-cash,14515
2025-05-05,Черноморский,cash,3365
2025-05-05,Черноморский,non-cash,6875
2025-05-06,Анапа Черноморская,cash,245
2025-05-06,Анапа Черноморская,non-cash,4600
2025-05-06,Боба Рэббит,cash,1300
2025-05-06,Боба Рэббит,non-cash,12905
2025-05-06,Геленджик,cash,350
2025-05-06,Геленджик,non-cash,4000
2025-05-06,Грин Парк,cash,450
2025-05-06,Грин Парк,non-cash,10065
2025-05-06,Красная,cash,800
2025-05-06,Красная,non-cash,5550
2025-05-06,Краснодар Оз Мол,cash,625
2025-05-06,Краснодар Оз Мол,non-cash,880
2025-05-06,Лента,cash,3800
2025-05-06,Лента,non-cash,2355
2025-05-06,Советов,cash,550
2025-05-06,Советов,non-cash,10990
2025-05-06,Черноморский,cash,6630
2025-05-06,Черноморский,non-cash,0
2025-05-07,Анапа Черноморская,cash,225
2025-05-07,Анапа Черноморская,non-cash,3875
2025-05-07,Боба Рэббит,cash,6130
2025-05-07,Боба Рэббит,non-cash,11580
2025-05-07,Геленджик,cash,500
2025-05-07,Геленджик,non-cash,6480
2025-05-07,Грин Парк,cash,2930
2025-05-07,Грин Парк,non-cash,11395
2025-05-07,Красная,cash,0
2025-05-07,Красная,non-cash,6295
2025-05-07,Краснодар Оз Мол,cash,350
2025-05-07,Краснодар Оз Мол,non-cash,2360
2025-05-07,Лента,cash,175
2025-05-07,Лента,non-cash,6010
2025-05-07,Советов,cash,0
2025-05-07,Советов,non-cash,11365
2025-05-07,Черноморский,cash,1550
2025-05-07,Черноморский,non-cash,7920
2025-05-08,Анапа Черноморская,cash,450
2025-05-08,Анапа Черноморская,non-cash,7745
2025-05-08,Боба Рэббит,cash,4875
2025-05-08,Боба Рэббит,non-cash,26225
2025-05-08,Геленджик,cash,450.01
2025-05-08,Геленджик,non-cash,8885
2025-05-08,Грин Парк,cash,4200
2025-05-08,Грин Парк,non-cash,24680
2025-05-08,Красная,cash,1080
2025-05-08,Красная,non-cash,14980
2025-05-08,Краснодар Оз Мол,cash,0
2025-05-08,Краснодар Оз Мол,non-cash,3705
2025-05-08,Лента,cash,850
2025-05-08,Лента,non-cash,8065
2025-05-08,Советов,cash,4540
2025-05-08,Советов,non-cash,5490
2025-05-08,Черноморский,cash,1315
2025-05-08,Черноморский,non-cash,14730
2025-05-09,Анапа Черноморская,cash,1545
2025-05-09,Анапа Черноморская,non-cash,5075
2025-05-09,Боба Рэббит,cash,8100
2025-05-09,Боба Рэббит,non-cash,31625
2025-05-09,Геленджик,cash,2865
2025-05-09,Геленджик,non-cash,8800
2025-05-09,Грин Парк,cash,3760
2025-05-09,Грин Парк,non-cash,25275
2025-05-09,Красная,cash,20275
2025-05-09,Красная,non-cash,6780
2025-05-09,Краснодар Оз Мол,cash,1130
2025-05-09,Краснодар Оз Мол,non-cash,3100
2025-05-09,Лента,cash,400
2025-05-09,Лента,non-cash,5610
2025-05-09,Советов,cash,1200
2025-05-09,Советов,non-cash,11475
2025-05-09,Черноморский,cash,4180
2025-05-09,Черноморский,non-cash,26360
2025-05-10,Анапа Черноморская,cash,2425
2025-05-10,Анапа Черноморская,non-cash,3905
2025-05-10,Боба Рэббит,cash,9165
2025-05-10,Боба Рэббит,non-cash,45955
2025-05-10,Геленджик,cash,0
2025-05-10,Геленджик,non-cash,9295
2025-05-10,Грин Парк,cash,5000
2025-05-10,Грин Парк,non-cash,16210
2025-05-10,Красная,cash,1970
2025-05-10,Красная,non-cash,13730
2025-05-10,Краснодар Оз Мол,cash,0
2025-05-10,Краснодар Оз Мол,non-cash,350
2025-05-10,Лента,cash,325
2025-05-10,Лента,non-cash,6810
2025-05-10,Советов,cash,700
2025-05-10,Советов,non-cash,10415
2025-05-10,Черноморский,cash,2800
2025-05-10,Черноморский,non-cash,4225
2025-05-11,Анапа Черноморская,cash,350
2025-05-11,Анапа Черноморская,non-cash,11165
2025-05-11,Боба Рэббит,cash,4350
2025-05-11,Боба Рэббит,non-cash,26650
2025-05-11,Геленджик,cash,1450
2025-05-11,Геленджик,non-cash,7365
2025-05-11,Грин Парк,cash,5270
2025-05-11,Грин Парк,non-cash,23135
2025-05-11,Красная,cash,2450
2025-05-11,Красная,non-cash,10395
2025-05-11,Краснодар Оз Мол,cash,950
2025-05-11,Краснодар Оз Мол,non-cash,7005
2025-05-11,Лента,cash,1500
2025-05-11,Лента,non-cash,2575
2025-05-11,Советов,cash,1250
2025-05-11,Советов,non-cash,8890
2025-05-11,Черноморский,cash,5830
2025-05-11,Черноморский,non-cash,12415
2025-05-12,Анапа Черноморская,cash,1650
2025-05-12,Анапа Черноморская,non-cash,4220
2025-05-12,Боба Рэббит,cash,1330
2025-05-12,Боба Рэббит,non-cash,14405
2025-05-12,Геленджик,cash,0
2025-05-12,Геленджик,non-cash,1215
2025-05-12,Грин Парк,cash,1650
2025-05-12,Грин Парк,non-cash,5586
2025-05-12,Красная,cash,800
2025-05-12,Красная,non-cash,6935
2025-05-12,Краснодар Оз Мол,cash,0
2025-05-12,Краснодар Оз Мол,non-cash,3150
2025-05-12,Лента,cash,0
2025-05-12,Лента,non-cash,1580
2025-05-12,Советов,cash,60
2025-05-12,Советов,non-cash,9115
2025-05-12,Черноморский,cash,4065
2025-05-12,Черноморский,non-cash,7655
2025-05-13,Анапа Черноморская,cash,0
2025-05-13,Анапа Черноморская,non-cash,2695
2025-05-13,Боба Рэббит,cash,175
2025-05-13,Боба Рэббит,non-cash,10225
2025-05-13,Геленджик,cash,0
2025-05-13,Геленджик,non-cash,6235
2025-05-13,Грин Парк,cash,3250
2025-05-13,Грин Парк,non-cash,6020
2025-05-13,Красная,cash,0
2025-05-13,Красная,non-cash,10080
2025-05-13,Краснодар Оз Мол,cash,0
2025-05-13,Краснодар Оз Мол,non-cash,500
2025-05-13,Лента,cash,1350
2025-05-13,Лента,non-cash,3675
2025-05-13,Советов,cash,2240
2025-05-13,Советов,non-cash,9515
2025-05-13,Черноморский,cash,500
2025-05-13,Черноморский,non-cash,9785
2025-05-14,Анапа Черноморская,cash,400
2025-05-14,Анапа Черноморская,non-cash,4860
2025-05-14,Боба Рэббит,cash,5050
2025-05-14,Боба Рэббит,non-cash,10180
2025-05-14,Геленджик,cash,1330
2025-05-14,Геленджик,non-cash,5175
2025-05-14,Грин Парк,cash,800
2025-05-14,Грин Парк,non-cash,8375
2025-05-14,Красная,cash,2500
2025-05-14,Красная,non-cash,16945
2025-05-14,Краснодар Оз Мол,cash,0
2025-05-14,Краснодар Оз Мол,non-cash,2045
2025-05-14,Лента,cash,1400
2025-05-14,Лента,non-cash,4110
2025-05-14,Советов,cash,2100
2025-05-14,Советов,non-cash,8060
2025-05-14,Черноморский,cash,2000
2025-05-14,Черноморский,non-cash,200
2025-05-15,Анапа Черноморская,cash,0
2025-05-15,Анапа Черноморская,non-cash,2875
2025-05-15,Боба Рэббит,cash,0
2025-05-15,Боба Рэббит,non-cash,9595
2025-05-15,Геленджик,cash,0
2025-05-15,Геленджик,non-cash,5060
2025-05-15,Грин Парк,cash,2050
2025-05-15,Грин Парк,non-cash,11920
2025-05-15,Красная,cash,402
2025-05-15,Красная,non-cash,9870
2025-05-15,Краснодар Оз Мол,cash,0
2025-05-15,Краснодар Оз Мол,non-cash,770
2025-05-15,Лента,cash,1125
2025-05-15,Лента,non-cash,3500
2025-05-15,Советов,cash,2350
2025-05-15,Советов,non-cash,10645
2025-05-15,Черноморский,cash,1250
2025-05-15,Черноморский,non-cash,9135
2025-05-16,Анапа Черноморская,cash,1500
2025-05-16,Анапа Черноморская,non-cash,2510
2025-05-16,Боба Рэббит,cash,3175
2025-05-16,Боба Рэббит,non-cash,15215
2025-05-16,Геленджик,cash,1188
2025-05-16,Геленджик,non-cash,5170
2025-05-16,Грин Парк,cash,2750
2025-05-16,Грин Парк,non-cash,10770
2025-05-16,Красная,cash,865
2025-05-16,Красная,non-cash,16795
2025-05-16,Краснодар Оз Мол,cash,0
2025-05-16,Краснодар Оз Мол,non-cash,1600
2025-05-16,Лента,cash,1500
2025-05-16,Лента,non-cash,2090
2025-05-16,Советов,cash,1150
2025-05-16,Советов,non-cash,7945
2025-05-16,Черноморский,cash,0
2025-05-16,Черноморский,non-cash,8935
2025-05-17,Анапа Черноморская,cash,1300
2025-05-17,Анапа Черноморская,non-cash,4330
2025-05-17,Боба Рэббит,cash,8450
2025-05-17,Боба Рэббит,non-cash,35940
2025-05-17,Геленджик,cash,1815
2025-05-17,Геленджик,non-cash,5385
2025-05-17,Грин Парк,cash,6750
2025-05-17,Грин Парк,non-cash,20280
2025-05-17,Красная,cash,2450
2025-05-17,Красная,non-cash,14810
2025-05-17,Краснодар Оз Мол,cash,350
2025-05-17,Краснодар Оз Мол,non-cash,3880
2025-05-17,Лента,cash,450
2025-05-17,Лента,non-cash,7685
2025-05-17,Советов,cash,2950
2025-05-17,Советов,non-cash,14966
2025-05-17,Черноморский,cash,3200
2025-05-17,Черноморский,non-cash,22190
2025-05-18,Анапа Черноморская,cash,1000
2025-05-18,Анапа Черноморская,non-cash,4825
2025-05-18,Боба Рэббит,cash,7250
2025-05-18,Боба Рэббит,non-cash,20065
2025-05-18,Геленджик,cash,1100
2025-05-18,Геленджик,non-cash,4635
2025-05-18,Грин Парк,cash,1650
2025-05-18,Грин Парк,non-cash,16420
2025-05-18,Красная,cash,3115
2025-05-18,Красная,non-cash,18170
2025-05-18,Краснодар Оз Мол,cash,750
2025-05-18,Краснодар Оз Мол,non-cash,1510
2025-05-18,Лента,cash,1950
2025-05-18,Лента,non-cash,4710
2025-05-18,Советов,cash,1365
2025-05-18,Советов,non-cash,15135
2025-05-18,Черноморский,cash,3150
2025-05-18,Черноморский,non-cash,12475
2025-05-19,Анапа Черноморская,cash,0
2025-05-19,Анапа Черноморская,non-cash,6935
2025-05-19,Боба Рэббит,cash,950
2025-05-19,Боба Рэббит,non-cash,15850
2025-05-19,Геленджик,cash,300
2025-05-19,Геленджик,non-cash,2005
2025-05-19,Грин Парк,cash,4000
2025-05-19,Грин Парк,non-cash,12215
2025-05-19,Красная,cash,780
2025-05-19,Красная,non-cash,8730
2025-05-19,Лента,cash,0
2025-05-19,Лента,non-cash,5295
2025-05-19,Советов,cash,1875
2025-05-19,Советов,non-cash,10900
2025-05-19,Черноморский,cash,1190
2025-05-19,Черноморский,non-cash,6515
2025-05-20,Анапа Черноморская,cash,350
2025-05-20,Анапа Черноморская,non-cash,2375
2025-05-20,Боба Рэббит,cash,2000
2025-05-20,Боба Рэббит,non-cash,17035
2025-05-20,Геленджик,cash,750
2025-05-20,Геленджик,non-cash,1450
2025-05-20,Грин Парк,cash,450
2025-05-20,Грин Парк,non-cash,8995
2025-05-20,Красная,cash,910
2025-05-20,Красная,non-cash,13330
2025-05-20,Краснодар Оз Мол,cash,0
2025-05-20,Краснодар Оз Мол,non-cash,350
2025-05-20,Лента,cash,900
2025-05-20,Лента,non-cash,4670
2025-05-20,Советов,cash,1350
2025-05-20,Советов,non-cash,6200
2025-05-20,Черноморский,cash,800
2025-05-20,Черноморский,non-cash,3300
2025-05-21,Анапа Черноморская,cash,0
2025-05-21,Анапа Черноморская,non-cash,2930
2025-05-21,Боба Рэббит,cash,3750
2025-05-21,Боба Рэббит,non-cash,17570
2025-05-21,Геленджик,cash,0
2025-05-21,Геленджик,non-cash,4000
2025-05-21,Грин Парк,cash,2800
2025-05-21,Грин Парк,non-cash,7535
2025-05-21,Красная,cash,1060
2025-05-21,Красная,non-cash,10555
2025-05-21,Краснодар Оз Мол,cash,500
2025-05-21,Краснодар Оз Мол,non-cash,650
2025-05-21,Лента,cash,0
2025-05-21,Лента,non-cash,4450
2025-05-21,Советов,cash,650
2025-05-21,Советов,non-cash,12405
2025-05-21,Черноморский,cash,1600
2025-05-21,Черноморский,non-cash,500
2025-05-22,Анапа Черноморская,cash,3000
2025-05-22,Анапа Черноморская,non-cash,6610
2025-05-22,Боба Рэббит,cash,1000
2025-05-22,Боба Рэббит,non-cash,18295
2025-05-22,Геленджик,cash,1700
2025-05-22,Геленджик,non-cash,4040
2025-05-22,Грин Парк,cash,2200
2025-05-22,Грин Парк,non-cash,16155
2025-05-22,Красная,cash,2050
2025-05-22,Красная,non-cash,11565
2025-05-22,Краснодар Оз Мол,cash,0
2025-05-22,Краснодар Оз Мол,non-cash,2450
2025-05-22,Лента,cash,2000
2025-05-22,Лента,non-cash,2850
2025-05-22,Советов,cash,2360
2025-05-22,Советов,non-cash,13075
2025-05-22,Черноморский,cash,4500
2025-05-22,Черноморский,non-cash,9975
2025-05-23,Анапа Черноморская,cash,995
2025-05-23,Анапа Черноморская,non-cash,4850
2025-05-23,Боба Рэббит,cash,4475
2025-05-23,Боба Рэббит,non-cash,20445
2025-05-23,Геленджик,cash,450
2025-05-23,Геленджик,non-cash,10875
2025-05-23,Грин Парк,cash,1800
2025-05-23,Грин Парк,non-cash,20835
2025-05-23,Красная,cash,4195
2025-05-23,Красная,non-cash,20820
2025-05-23,Краснодар Оз Мол,cash,0
2025-05-23,Краснодар Оз Мол,non-cash,700
2025-05-23,Лента,cash,2195
2025-05-23,Лента,non-cash,5540
2025-05-23,Советов,cash,1030
2025-05-23,Советов,non-cash,18470
2025-05-23,Черноморский,cash,1080
2025-05-23,Черноморский,non-cash,15455
2025-05-24,Анапа Черноморская,cash,2415
2025-05-24,Анапа Черноморская,non-cash,10210
2025-05-24,Боба Рэббит,cash,3850
2025-05-24,Боба Рэббит,non-cash,26295
2025-05-24,Геленджик,cash,2400
2025-05-24,Геленджик,non-cash,9465
2025-05-24,Грин Парк,cash,5100
2025-05-24,Грин Парк,non-cash,31555
2025-05-24,Красная,cash,2250
2025-05-24,Красная,non-cash,20745
2025-05-24,Краснодар Оз Мол,cash,1350
2025-05-24,Краснодар Оз Мол,non-cash,15060
2025-05-24,Лента,cash,0
2025-05-24,Лента,non-cash,5080
2025-05-24,Советов,cash,3700
2025-05-24,Советов,non-cash,17150
2025-05-24,Черноморский,cash,7465
2025-05-24,Черноморский,non-cash,6130
2025-05-25,Анапа Черноморская,cash,960
2025-05-25,Анапа Черноморская,non-cash,4575
2025-05-25,Боба Рэббит,cash,7050
2025-05-25,Боба Рэббит,non-cash,22900
2025-05-25,Геленджик,cash,1250
2025-05-25,Геленджик,non-cash,7140
2025-05-25,Грин Парк,cash,2750
2025-05-25,Грин Парк,non-cash,26770
2025-05-25,Красная,cash,4225
2025-05-25,Красная,non-cash,21010
2025-05-25,Краснодар Оз Мол,cash,0
2025-05-25,Краснодар Оз Мол,non-cash,5600
2025-05-25,Лента,cash,0
2025-05-25,Лента,non-cash,5320
2025-05-25,Советов,cash,0
2025-05-25,Советов,non-cash,11675
2025-05-25,Черноморский,cash,4890
2025-05-25,Черноморский,non-cash,28645
2025-05-26,Анапа Черноморская,cash,910
2025-05-26,Анапа Черноморская,non-cash,2475
2025-05-26,Боба Рэббит,cash,5450
2025-05-26,Боба Рэббит,non-cash,24420
2025-05-26,Геленджик,cash,450
2025-05-26,Геленджик,non-cash,4090
2025-05-26,Грин Парк,cash,4600
2025-05-26,Грин Парк,non-cash,14390
2025-05-26,Красная,cash,2630
2025-05-26,Красная,non-cash,12050
2025-05-26,Краснодар Оз Мол,cash,0
2025-05-26,Краснодар Оз Мол,non-cash,5020
2025-05-26,Лента,cash,0
2025-05-26,Лента,non-cash,3410
2025-05-26,Советов,cash,4410
2025-05-26,Советов,non-cash,12790
2025-05-26,Черноморский,cash,2250
2025-05-26,Черноморский,non-cash,12965
2025-05-27,Анапа Черноморская,cash,650
2025-05-27,Анапа Черноморская,non-cash,4925
2025-05-27,Боба Рэббит,cash,4800
2025-05-27,Боба Рэббит,non-cash,19065
2025-05-27,Геленджик,cash,1240
2025-05-27,Геленджик,non-cash,6130
2025-05-27,Грин Парк,cash,2525
2025-05-27,Грин Парк,non-cash,12275
2025-05-27,Красная,cash,2195
2025-05-27,Красная,non-cash,6445
2025-05-27,Краснодар Оз Мол,cash,0
2025-05-27,Краснодар Оз Мол,non-cash,3525
2025-05-27,Лента,cash,525
2025-05-27,Лента,non-cash,5780
2025-05-27,Советов,cash,4200
2025-05-27,Советов,non-cash,15525
2025-05-27,Черноморский,cash,0
2025-05-27,Черноморский,non-cash,15145
2025-05-28,Анапа Черноморская,cash,630
2025-05-28,Анапа Черноморская,non-cash,5015
2025-05-28,Боба Рэббит,cash,4100
2025-05-28,Боба Рэббит,non-cash,16880
2025-05-28,Геленджик,cash,1250
2025-05-28,Геленджик,non-cash,4890
2025-05-28,Грин Парк,cash,2200
2025-05-28,Грин Парк,non-cash,12195
2025-05-28,Красная,cash,3041
2025-05-28,Красная,non-cash,7930
2025-05-28,Краснодар Оз Мол,cash,0
2025-05-28,Краснодар Оз Мол,non-cash,2075
2025-05-28,Лента,cash,800
2025-05-28,Лента,non-cash,5750
2025-05-28,Советов,cash,0
2025-05-28,Советов,non-cash,11575
2025-05-28,Черноморский,cash,3745
2025-05-28,Черноморский,non-cash,14105
2025-05-29,Анапа Черноморская,cash,950
2025-05-29,Анапа Черноморская,non-cash,5800
2025-05-29,Боба Рэббит,cash,4000
2025-05-29,Боба Рэббит,non-cash,12930
2025-05-29,Геленджик,cash,500
2025-05-29,Геленджик,non-cash,4730
2025-05-29,Грин Парк,cash,5650
2025-05-29,Грин Парк,non-cash,12900
2025-05-29,Красная,cash,950
2025-05-29,Красная,non-cash,13165
2025-05-29,Краснодар Оз Мол,cash,950
2025-05-29,Краснодар Оз Мол,non-cash,2650
2025-05-29,Лента,cash,1580
2025-05-29,Лента,non-cash,3150
2025-05-29,Советов,cash,400
2025-05-29,Советов,non-cash,11625
2025-05-29,Черноморский,cash,2300
2025-05-29,Черноморский,non-cash,8760
2025-05-30,Анапа Черноморская,cash,500
2025-05-30,Анапа Черноморская,non-cash,2130
2025-05-30,Боба Рэббит,cash,3900
2025-05-30,Боба Рэббит,non-cash,19425
2025-05-30,Галерея Краснодар,cash,0
2025-05-30,Галерея Краснодар,non-cash,0
2025-05-30,Геленджик,cash,0
2025-05-30,Геленджик,non-cash,1900
2025-05-30,Грин Парк,cash,4750
